nohup: ignoring input
 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5556/ (Press CTRL+C to quit)
172.17.0.1 - - [29/Dec/2018 07:27:59] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:28:00] "GET /notes?pageNum=1&pageSize=15&categoryId=all HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:28:00] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:28:00] "GET /notes?pageNum=1&pageSize=15&categoryId=all HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:28:00] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:28:01] "GET /notes?pageNum=1&pageSize=15&categoryId=all HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:28:01] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:28:13] "OPTIONS /note/6418 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:28:13] "DELETE /note/6418 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:28:40] "POST /note HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:28:52] "GET /classify/6491/11 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:29:01] "OPTIONS /note/6361 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:29:01] "DELETE /note/6361 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:29:36] "GET /classify/6410/9 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:29:38] "GET /categories HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:29:50] "GET /order/9/1000 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:29:51] "GET /categories HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:29:51] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:29:53] "GET /notes?pageNum=2&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:29:53] "GET /notes?pageNum=3&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:10] "GET /notes?pageNum=1&pageSize=15&categoryId=11 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:10] "GET /notes?pageNum=2&pageSize=15&categoryId=11 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:21] "POST /note/6491 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:24] "POST /note/6491 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:28] "POST /note/6491 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:42] "POST /note/6417 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:43] "POST /note/6417 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:44] "POST /note/6417 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:45] "POST /note/6417 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:46] "POST /note/6417 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:47] "POST /note/6417 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:50] "POST /note/6417 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:51] "POST /note/6417 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:52] "POST /note/6417 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:52] "GET /notes?pageNum=1&pageSize=15&categoryId=7 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:33:55] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:34:13] "POST /note/6415 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:34:14] "POST /note/6415 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:34:17] "POST /note/6415 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:34:19] "GET /classify/6415/7 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:34:25] "GET /notes?pageNum=1&pageSize=15&categoryId=all HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:34:26] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 08:12:20] "OPTIONS /note/6090 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 08:12:20] "DELETE /note/6090 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 08:12:32] "GET /classify/6409/7 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 08:12:43] "POST /note/6398 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 08:12:46] "POST /note/6398 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 08:12:48] "GET /classify/6398/6 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:40:17] "POST /note/6402 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:40:20] "POST /note/6402 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:40:22] "POST /note/6402 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:40:23] "POST /note/6402 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:40:25] "GET /classify/6402/7 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:40:45] "GET /classify/6403/7 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:46:32] "GET /categories HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:46:32] "GET /notes?pageNum=1&pageSize=15&categoryId=all HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:47:31] "GET /notes?pageNum=1&pageSize=15&categoryId=9 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:47:32] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:47:33] "GET /notes?pageNum=2&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:47:51] "GET /categories HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:47:51] "GET /notes?pageNum=1&pageSize=15&categoryId=all HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:47:54] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:47:55] "GET /notes?pageNum=2&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:47:56] "GET /notes?pageNum=3&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:47:56] "GET /notes?pageNum=4&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:47:58] "GET /notes?pageNum=5&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:47:58] "GET /notes?pageNum=6&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:48:01] "GET /notes?pageNum=7&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:48:01] "GET /notes?pageNum=8&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:48:02] "GET /notes?pageNum=9&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:48:02] "GET /notes?pageNum=10&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:48:38] "GET /classify/4496/7 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:48:52] "GET /categories HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:48:52] "GET /notes?pageNum=1&pageSize=15&categoryId=all HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:48:53] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:48:53] "GET /notes?pageNum=2&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:48:54] "GET /notes?pageNum=3&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:48:54] "GET /notes?pageNum=4&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:49:04] "GET /classify/6392/6 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:49:56] "GET /categories HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:49:58] "GET /categories HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:49:58] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:50:01] "GET /categories HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:50:06] "POST /category HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:50:18] "GET /order/12/2 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:50:21] "GET /categories HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:50:21] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:50:27] "GET /notes?pageNum=2&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:50:28] "GET /notes?pageNum=3&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 09:50:28] "GET /notes?pageNum=4&pageSize=15&categoryId=0 HTTP/1.1" 200 -
